D:\dev\python\Lib\site-packages\pyannote\audio\core\io.py:212: UserWarning: torchaudio._backend.list_audio_backends has been deprecated. This deprecation is part of a large refactoring effort to transition TorchAudio into a maintenance phase. The decoding and encoding capabilities of PyTorch for both audio and video are being consolidated into TorchCodec. Please see https://github.com/pytorch/audio/issues/3902 for more information. It will be removed from the 2.9 release. 
  torchaudio.list_audio_backends()
D:\dev\python\Lib\site-packages\speechbrain\utils\torch_audio_backend.py:57: UserWarning: torchaudio._backend.list_audio_backends has been deprecated. This deprecation is part of a large refactoring effort to transition TorchAudio into a maintenance phase. The decoding and encoding capabilities of PyTorch for both audio and video are being consolidated into TorchCodec. Please see https://github.com/pytorch/audio/issues/3902 for more information. It will be removed from the 2.9 release. 
  available_backends = torchaudio.list_audio_backends()
2026-01-28 18:15:50 - whisperx.vads.silero - INFO - Performing voice activity detection using Silero...
Using cache found in C:\Users\eason/.cache\torch\hub\snakers4_silero-vad_master
2026-01-28 18:15:52 - whisperx.transcribe - INFO - Performing transcription...
Transcript: [0.034 --> 29.118] 里还没有护照的抓紧时间把护照办好了现在呢有好多地方都是需要邀请函才能给你办的虽然说护照是公民的权利但好多省份呢现在办护照没有那么简单了而且可以说越来越难所以不要再抱怨签证难办了好多人呢连个本本都拿不到办护照人山人海不知道哪有这么多人办护照整个国家都在办护照这个国家没有前途了
Transcript: [30.53 --> 60.158] 我今天去了出入境中心我要续我的港澳通行证的签注那里边人满为患的都不是什么办护照办签证的港澳通行证如果你第一次办就需要去人工窗口那办你要排很长时间都对如果你以前办过你只是要续期的话你就可以在那个机器上办它很方便中国移民的数量其实名列前茅的就是美和日咱们这边的贸易伙伴他的交易量他的交易额的话名列前茅的也是这两个
Transcript: [70.274 --> 98.782] 好好的这些当下吧现在中国都没有十四亿人口了我估计就剩下五六亿了这里是菜里菜酒里酒脑梗里脑梗都没人了都说你难他难谁有我难我今年五十多岁了上有一个老母亲需要照顾下有两个儿子还没结婚这中间还有四十多岁一个老弟他是一个精神分裂症
Transcript: [99.362 --> 129.118] 我要不管就没有人管我为什么过那么难不献血就不给动手术我老公的小姨现在还正在住院必须要做手术今天医生告诉我们说手术的时候需要用到血要让我们赶紧去找人去献血就是要以血换血要不然这个手术做不了我想知道现在是全国都这样子吗全国的医院如果是要用血的话都必须要以血换血去献血吗就是说现在是有钱你也买不到血
Transcript: [129.858 --> 136.19] 為啥在國外打工的人大多數都不願意回國呢
Transcript: [136.322 --> 163.742] 就拿我老公我俩来说吧我们在欧洲捷克餐馆洗碗一个月我俩一个人是1.2要是有手艺呢比如说做厨师吧在捷克挣得更多在欧洲工作明显能感觉到贫富差距特别小可一旦回到国内呢同样在餐馆洗碗一个月也就能挣3000到4000块钱干的都是一样的活
Transcript: [163.874 --> 193.822] 同样是辛辛苦苦卖力干为啥收入差距能这么大呢一个很反常的现象不知道你们有没有发现就是说和我们关系特别好的国家国人很少会去反而是那些经常被我们吐槽的国家人人站队往那跑就像俄罗斯巴基斯坦伊朗古巴朝鲜这些跟咱们特别友好的国家别说一直移民了旅游的话咱们顶多也就去个俄罗斯就不错了而像英美加澳日明明准备说搬进石头砸自己的脚却成了国人首选旅游投资
Transcript: [193.986 --> 223.678] 定居全往南凑你说现在这脑梗的人为啥越来越多以前脑梗的人都是年龄大的人你现在普遍年轻化的原来都七八十岁才有你现在这五六十岁脑梗更让你惊讶的是啥三十来岁就有脑梗的你说你害怕不你现在有的三十来岁高血压的天天吃降下药的你说咱长不明白这咋回事你这随便那个解释一下到底啥情况吧
Transcript: [225.026 --> 253.438] 重大消息外汇管制又一次升级了新的政策出来了从26年起往境外汇款一次性超过5000元银行需要核实汇款人的信心这对于很多刚刚移居国外的或者打算有这个计划的朋友是一个非常敏感的信号尽管说年购汇额度不变依然是每年5万美元或者等值货币但是购汇毕竟还在圈里往外汇出的话无形的炸弹就增高加密了
